"","LOCATION","variable","value","Cancel_rate","Delay_rate"
"1","Adelaide","Jan",20,49.6012524890531,66.7731661480199
"2","Adelaide","Feb",13,44.964100830209,63.3266279766724
"3","Adelaide","Mar",27,108.634607643574,76.856570538494
"4","Adelaide","Apr",39,127.605233332627,69.276626216949
"5","Adelaide","May",61,37.3615414393478,58.0689900338635
"6","Adelaide","Jun",80,78.8600648605575,66.819008134203
"7","Adelaide","Jul",76,85.0268382048903,98.530332216774
"8","Adelaide","Aug",70,47.9024477198384,73.2147589742628
"9","Adelaide","Sep",59,63.0708393188922,79.3551072421072
"10","Adelaide","Oct",42,58.7774280445575,77.8788097765003
"11","Adelaide","Nov",30,136.786329572278,85.9252133711871
"12","Adelaide","Dec",30,113.235191559396,89.4603662917276
"13","Brisbane","Jan",115,67.3173308868011,104.686295134595
"14","Brisbane","Feb",144,73.4313391414614,100.983328188057
"15","Brisbane","Mar",108,178.077109947905,109.107891237135
"16","Brisbane","Apr",104,213.114666374952,105.367414012742
"17","Brisbane","May",109,51.4346391565429,90.118119866438
"18","Brisbane","Jun",65,73.5372192315693,117.988318613826
"19","Brisbane","Jul",46,99.1765812457912,134.527636846196
"20","Brisbane","Aug",41,109.295664982262,102.477149794053
"21","Brisbane","Sep",33,65.2716235087106,111.434477902279
"22","Brisbane","Oct",81,86.6842989041439,130.967043277654
"23","Brisbane","Nov",98,94.7497763237027,122.423157871385
"24","Brisbane","Dec",136,123.557962674819,138.067012440042
"25","Canberra","Jan",55,78.7834686980454,52.6820030575896
"26","Canberra","Feb",53,69.9573178479181,52.0954551213135
"27","Canberra","Mar",45,134.660289711599,61.6935671407982
"28","Canberra","Apr",41,135.14986314727,49.5251661156476
"29","Canberra","May",38,59.7602357296027,44.8046062751315
"30","Canberra","Jun",44,92.230443963797,63.3594016008456
"31","Canberra","Jul",48,125.921213556221,52.6820030575896
"32","Canberra","Aug",46,91.5777830603973,52.6820030575896
"33","Canberra","Sep",52,75.1106849015024,52.1759837591226
"34","Canberra","Oct",51,93.20275313167,52.6820030575896
"35","Canberra","Nov",69,93.9736252695167,63.5515442083637
"36","Canberra","Dec",61,83.5420021337593,71.8442539799629
"37","Darwin","Jan",466,25.565440362442,52.2481451991928
"38","Darwin","Feb",373,31.8647139028262,57.1853345544898
"39","Darwin","Mar",335,74.4249925454197,59.990609762679
"40","Darwin","Apr",108,12.8785010113548,61.3005103059926
"41","Darwin","May",25,23.1042064607832,73.1976751650784
"42","Darwin","Jun",2,22.74852960342,99.5197391895849
"43","Darwin","Jul",1,25.2128196489636,130.72305365454
"44","Darwin","Aug",6,22.3527490523832,92.9023724927255
"45","Darwin","Sep",17,14.9640527861076,83.602938312598
"46","Darwin","Oct",65,23.2591321759758,70.7081039301858
"47","Darwin","Nov",137,32.4024007084235,85.3801147366956
"48","Darwin","Dec",276,30.278556573797,87.3381259576647
"49","Hobart","Jan",44,18.3892685912463,52.2481451991928
"50","Hobart","Feb",36,13.2957400710931,57.1853345544898
"51","Hobart","Mar",39,75.7212253425213,59.990609762679
"52","Hobart","Apr",43,11.0176719059386,61.3005103059926
"53","Hobart","May",36,9.34990875997047,73.1976751650784
"54","Hobart","Jun",43,49.0850459279627,99.5197391895849
"55","Hobart","Jul",47,32.5022390807858,130.72305365454
"56","Hobart","Aug",61,28.8837362760557,92.9023724927255
"57","Hobart","Sep",59,20.8411029701071,83.602938312598
"58","Hobart","Oct",56,16.8375430544122,70.7081039301858
"59","Hobart","Nov",48,26.3915374542418,85.3801147366956
"60","Hobart","Dec",56,52.1297348234263,87.3381259576647
"61","Melbourne","Jan",40,115.93018657895,132.467435593353
"62","Melbourne","Feb",37,116.163869931273,118.991503745205
"63","Melbourne","Mar",39,230.81836654001,129.216820427387
"64","Melbourne","Apr",38,234.490684972634,123.287807182966
"65","Melbourne","May",36,83.9240767800612,96.2891609477422
"66","Melbourne","Jun",39,171.053974662983,128.061824247772
"67","Melbourne","Jul",39,171.053974662983,161.491167995937
"68","Melbourne","Aug",43,129.538168574379,128.092533075433
"69","Melbourne","Sep",44,130.830337836316,137.905425749304
"70","Melbourne","Oct",51,121.582683355379,138.974816649317
"71","Melbourne","Nov",61,117.325491530282,147.59974736039
"72","Melbourne","Dec",51,172.921639471542,154.936011827914
"73","Perth","Jan",17,36.3067848026564,75.990221595955
"74","Perth","Feb",13,37.5299894606144,60.1110907893496
"75","Perth","Mar",21,79.9528343812325,73.5150520994244
"76","Perth","Apr",37,109.651700060157,65.6635067629135
"77","Perth","May",89,27.7612400216383,62.1214032136557
"78","Perth","Jun",127,63.3701723285834,79.4470081456668
"79","Perth","Jul",147,43.9471778649386,114.884582548118
